,city id,city,country,lat,lon,cloudiness %,humidity %,max temp (F),wind speed (mph),date
0,5905393,Bonavista,CA,48.6499,-53.1147,12,70,41.0,8.05,1619406522
1,3424607,Tasiilaq,GL,65.6145,-37.6368,90,70,37.4,14.97,1619406228
2,5106841,Albany,US,42.6001,-73.9662,38,50,46.0,1.01,1619406382
3,3883457,Lebu,CL,-37.6167,-73.65,28,92,54.41,9.37,1619406523
4,2524371,Locri,IT,38.2414,16.2623,16,66,57.99,8.05,1619406523
5,107304,Buraidah,SA,26.326,43.975,20,50,75.2,5.75,1619406524
6,3357804,Eenhana,NA,-17.4667,16.3333,0,55,62.6,5.75,1619406524
7,3366880,Hermanus,ZA,-34.4187,19.2345,1,92,59.0,3.0,1619406524
8,4032243,Vaini,TO,-21.2,-175.2,40,83,80.6,5.75,1619406525
9,1645133,Dumai,ID,1.6833,101.45,93,83,82.71,0.51,1619406525
10,3137469,Sørland,NO,67.667,12.6934,100,61,37.62,9.91,1619406365
11,529368,Marfino,RU,55.7028,37.3822,0,74,34.0,11.18,1619406526
12,2071860,Esperance,AU,-33.8667,121.9,17,26,80.6,14.97,1619406526
13,80509,Al Bardīyah,LY,31.7561,25.0865,0,78,60.57,21.36,1619406526
14,1634266,Negara,ID,-8.3151,114.6025,7,63,85.5,4.21,1619406527
15,4036284,Alofi,NU,-19.0595,-169.9187,86,74,84.2,6.91,1619406527
16,2206939,Bluff,NZ,-46.6,168.3333,87,72,48.0,20.0,1619406527
17,2745087,Gemeente Wageningen,NL,51.9667,5.6667,32,80,37.0,6.91,1619406528
18,6185377,Yellowknife,CA,62.456,-114.3525,90,78,8.6,11.5,1619406528
19,3831208,Qaanaaq,GL,77.484,-69.3632,5,64,28.44,8.9,1619406529
20,1859964,Kaseda-shirakame,JP,31.4167,130.3167,75,34,66.2,8.05,1619406529
21,2075265,Busselton,AU,-33.65,115.3333,99,65,73.99,3.0,1619406529
22,2034599,Tailai,CN,46.3833,123.4,90,13,67.82,20.02,1619406530
23,4030556,Rikitea,PF,-23.1203,-134.9692,26,74,77.95,5.28,1619406530
24,3430863,Mar del Plata,AR,-38.0023,-57.5575,1,94,61.0,4.61,1619406530
25,964420,Port Elizabeth,ZA,-33.918,25.5701,0,88,57.2,2.84,1619406268
26,5563839,Fortuna,US,40.5982,-124.1573,75,87,50.0,3.44,1619406531
27,3471451,Arraial do Cabo,BR,-22.9661,-42.0278,66,86,74.05,8.75,1619406531
28,2548885,Fes,MA,34.0372,-4.9998,75,94,53.6,4.61,1619406532
29,1272502,Diu,IN,20.7141,70.9822,6,47,88.18,8.61,1619406532
30,2122090,Pevek,RU,69.7008,170.3133,99,85,25.27,1.5,1619406281
31,1515029,Ulaangom,MN,49.9811,92.0667,0,50,37.72,1.72,1619406533
32,2274275,Robertsport,LR,6.7533,-11.3686,100,79,81.81,8.21,1619406533
33,5880054,Barrow,US,71.2906,-156.7887,1,79,21.2,14.97,1619406533
34,1714733,Dingle,PH,10.9995,122.6711,73,52,89.87,5.32,1619406534
35,1786110,Yuancheng,CN,36.652,107.7896,0,48,57.65,10.89,1619406534
36,1735106,George Town,MY,5.4112,100.3354,20,74,87.8,5.75,1619406535
37,1282256,Hithadhoo,MV,-0.6,73.0833,63,67,82.6,4.5,1619406535
38,3833367,Ushuaia,AR,-54.8,-68.3,75,76,46.4,12.66,1619406277
39,4031574,Provideniya,RU,64.3833,-173.3,0,60,41.0,6.71,1619406536
40,3445026,Vila Velha,BR,-20.3297,-40.2925,0,83,77.0,3.44,1619406536
41,2126199,Cherskiy,RU,68.75,161.3,89,72,21.99,6.06,1619406536
42,1015776,Bredasdorp,ZA,-34.5322,20.0403,95,93,50.0,4.61,1619406537
43,3663517,Manaus,BR,-3.1019,-60.025,0,94,80.6,3.44,1619406262
44,3369157,Cape Town,ZA,-33.9258,18.4232,75,82,62.6,9.22,1619406307
45,5122534,Jamestown,US,42.097,-79.2353,40,86,34.0,10.36,1619406506
46,935215,Saint-Philippe,RE,-21.3585,55.7679,0,65,77.0,13.8,1619406538
47,6355222,Yulara,AU,-25.2406,130.9889,0,23,75.2,14.97,1619406254
48,2112802,Hasaki,JP,35.7333,140.8333,20,31,63.0,12.66,1619406539
49,5983720,Iqaluit,CA,63.7506,-68.5145,90,93,32.0,2.3,1619406539
50,2064735,Nhulunbuy,AU,-12.2333,136.7667,40,74,84.2,3.44,1619406539
51,3372707,Ribeira Grande,PT,38.5167,-28.7,20,72,59.0,12.66,1619406540
52,2173911,Broken Hill,AU,-31.95,141.4333,0,42,68.0,8.05,1619406540
53,2946366,Boppard,DE,50.2308,7.5899,100,64,35.6,10.36,1619406540
54,5282297,Bethel,US,41.3712,-73.414,1,50,55.4,4.61,1619406541
55,5848280,Kapaa,US,22.0752,-159.319,1,73,77.0,13.8,1619406541
56,4026082,Lázaro Cárdenas,MX,17.9583,-102.2,100,73,76.86,4.43,1619406542
57,3386177,Trairi,BR,-3.2778,-39.2689,21,85,76.06,5.64,1619406542
